id,geometry_name,id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,longitude,latitude
emel_gira_stations.68,geom,388,388,109 - Alameda dos Oceanos / Rua Ilha dos Amores,B,11,14,0.79,repair,2023-04-20T01:45:45Z,"[-9.094672, 38.777589, -9.094672, 38.777589]",-9.094672,38.777589
emel_gira_stations.81,geom,631,631,472 - Rua Marquês Soveral / ES Padre António Vieira,B,5,14,0.36,repair,2024-06-02T11:26:01Z,"[-9.13608, 38.75784, -9.13608, 38.75784]",-9.13608,38.75784
emel_gira_stations.80,geom,641,641,107 - Rotunda dos Vice-Reis,B,3,14,0.21,repair,2024-06-01T21:11:28Z,"[-9.095416, 38.774505, -9.095416, 38.774505]",-9.095416,38.774505
emel_gira_stations.43,geom,210,210,238 - Rua de Cascais / Alcântara Mar,A,0,0,0.0,repair,2022-04-07T11:56:26Z,"[-9.175234, 38.702936, -9.175234, 38.702936]",-9.175234,38.702936
emel_gira_stations.48,geom,351,351,352 - Rua Tomás da Anunciação / Rua Almeida e S.,,0,17,0.0,repair,2022-07-13T15:45:51Z,"[-9.165653, 38.717313, -9.165653, 38.717313]",-9.165653,38.717313
emel_gira_stations.82,geom,324,324,324 - Rua Morais Soares / Largo Mendonça e Costa,A,8,12,0.67,active,2025-02-14T18:11:25Z,"[-9.130805, 38.733025, -9.130805, 38.733025]",-9.130805,38.733025
emel_gira_stations.84,geom,261,261,261 - Calçada da Estrela / Assembleia da República ,A,7,17,0.41,active,2025-02-14T18:11:27Z,"[-9.153871, 38.711469, -9.153871, 38.711469]",-9.153871,38.711469
emel_gira_stations.85,geom,289,289,289 - Parque Ribeirinho Oriente,A,10,26,0.38,active,2025-02-14T18:11:27Z,"[-9.097661, 38.744521, -9.097661, 38.744521]",-9.097661,38.744521
emel_gira_stations.86,geom,288,288,288 - Praça David Leandro da Silva,A,15,22,0.68,active,2025-02-14T18:11:27Z,"[-9.102359, 38.742484, -9.102359, 38.742484]",-9.102359,38.742484
emel_gira_stations.100,geom,445,445,445 - Avenida Afonso Costa / SSCML,A,5,24,0.21,active,2025-02-14T18:11:32Z,"[-9.127572, 38.74068, -9.127572, 38.74068]",-9.127572,38.74068
emel_gira_stations.262,geom,441,441,441 - Rua Soeiro Pereira Gomes,A,8,17,0.47,active,2025-02-14T18:11:33Z,"[-9.160048, 38.74516, -9.160048, 38.74516]",-9.160048,38.74516
emel_gira_stations.103,geom,152,152,152 - Alameda da Encarnação / Rua da Portela	,A,19,21,0.9,active,2025-02-14T18:11:34Z,"[-9.121902, 38.770808, -9.121902, 38.770808]",-9.121902,38.770808
emel_gira_stations.105,geom,454,454,454 - Av. Álvaro Pais / Rua da Cruz Vermelha	,A,9,20,0.45,active,2025-02-14T18:11:34Z,"[-9.151449, 38.744971, -9.151449, 38.744971]",-9.151449,38.744971
emel_gira_stations.220,geom,306,306,306 - Avenida da Liberdade / Rua Alexandre Herculano,A,0,16,0.0,active,2025-02-14T18:10:48Z,"[-9.14854, 38.72281, -9.14854, 38.72281]",-9.14854,38.72281
emel_gira_stations.83,geom,331,331,331 - Avenida General Roçadas / Mercado de Sapadores,A,11,18,0.61,active,2025-02-14T18:11:26Z,"[-9.128819, 38.722547, -9.128819, 38.722547]",-9.128819,38.722547
emel_gira_stations.89,geom,434,434,434 - Praça de Londres / Av. de Roma,A,6,23,0.26,active,2025-02-14T18:11:28Z,"[-9.13745, 38.741407, -9.13745, 38.741407]",-9.13745,38.741407
emel_gira_stations.88,geom,429,429,429 - Av. Defensores de Chaves / Av. Elias Garcia,A,1,21,0.05,active,2025-02-14T18:11:28Z,"[-9.144196, 38.738442, -9.144196, 38.738442]",-9.144196,38.738442
emel_gira_stations.91,geom,440,440,440 - Rua Soeiro Pereira Gomes,A,11,17,0.65,active,2025-02-14T18:11:29Z,"[-9.158365, 38.742574, -9.158365, 38.742574]",-9.158365,38.742574
emel_gira_stations.95,geom,136,136,136 - Rua Cidade de Bissau / Praça Cidade Salazar,A,12,24,0.5,active,2025-02-14T18:11:30Z,"[-9.117117, 38.763585, -9.117117, 38.763585]",-9.117117,38.763585
emel_gira_stations.172,geom,452,452,452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,B,10,10,1.0,active,2025-02-14T18:10:31Z,"[-9.136681, 38.747751, -9.136681, 38.747751]",-9.136681,38.747751
emel_gira_stations.97,geom,439,439,439 - Rua General Leman,A,17,22,0.77,active,2025-02-14T18:11:31Z,"[-9.157637, 38.741986, -9.157637, 38.741986]",-9.157637,38.741986
emel_gira_stations.101,geom,515,515,515 – Largo da Luz,A,0,10,0.0,active,2025-02-14T18:11:33Z,"[-9.18327, 38.760986, -9.18327, 38.760986]",-9.18327,38.760986
emel_gira_stations.104,geom,327,327,327 - Parada do Alto de São João,A,1,20,0.05,active,2025-02-14T18:11:34Z,"[-9.123307, 38.729419, -9.123307, 38.729419]",-9.123307,38.729419
emel_gira_stations.230,geom,419,419,419 - Av. António José de Almeida / Instituto Superior Técnico,B,2,25,0.08,active,2025-02-14T18:10:51Z,"[-9.13956, 38.73811, -9.13956, 38.73811]",-9.13956,38.73811
emel_gira_stations.78,geom,444,444,444 - Rua João da Silva / Complexo Desportivo do Casal Vistoso,A,1,17,0.06,active,2025-02-14T18:11:28Z,"[-9.128901, 38.742368, -9.128901, 38.742368]",-9.128901,38.742368
emel_gira_stations.102,geom,466,466,466 - Rua Azevedo Neves (Universidade Católica Portuguesa),A,10,15,0.67,active,2025-02-14T18:11:32Z,"[-9.165081, 38.748018, -9.165081, 38.748018]",-9.165081,38.748018
emel_gira_stations.177,geom,468,468,468 - Largo Frei Heitor Pinto,B,7,21,0.33,active,2025-02-14T18:10:33Z,"[-9.13827, 38.75482, -9.13827, 38.75482]",-9.13827,38.75482
emel_gira_stations.90,geom,404,404,404 - Largo São Sebastião da Pedreira,A,0,10,0.0,active,2025-02-14T18:11:28Z,"[-9.152444, 38.733526, -9.152444, 38.733526]",-9.152444,38.733526
emel_gira_stations.180,geom,442,442,442 - Campo Pequeno,A,3,16,0.19,active,2025-02-14T18:10:35Z,"[-9.14523, 38.743371, -9.14523, 38.743371]",-9.14523,38.743371
emel_gira_stations.92,geom,469,469,469 - Avenida Almirante Gago Coutinho / Avenida Dom Rodrigo da Cunha,A,2,20,0.1,active,2025-02-14T18:11:29Z,"[-9.130766, 38.754472, -9.130766, 38.754472]",-9.130766,38.754472
emel_gira_stations.187,geom,415,415,415 - Av. Duque de Ávila / Av. Conde Valbom,B,11,20,0.55,active,2025-02-14T18:10:37Z,"[-9.148443, 38.735188, -9.148443, 38.735188]",-9.148443,38.735188
emel_gira_stations.192,geom,459,459,459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,B,10,20,0.5,active,2025-02-14T18:10:38Z,"[-9.141741, 38.751481, -9.141741, 38.751481]",-9.141741,38.751481
emel_gira_stations.238,geom,401,401,401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,B,4,16,0.25,active,2025-02-14T18:10:53Z,"[-9.14742, 38.72894, -9.14742, 38.72894]",-9.14742,38.72894
emel_gira_stations.93,geom,505,505,505 - Rua Sousa Loureiro / Rua Conde de Almoster,A,5,17,0.29,active,2025-02-14T18:11:29Z,"[-9.184358, 38.745011, -9.184358, 38.745011]",-9.184358,38.745011
emel_gira_stations.188,geom,417,417,417 - Av. Duque de Ávila / Jardim Arco Do Cego,A,6,23,0.26,active,2025-02-14T18:10:37Z,"[-9.142703, 38.735352, -9.142703, 38.735352]",-9.142703,38.735352
emel_gira_stations.94,geom,328,328,328 - Avenida General Roçadas / Rua Francisco Pedro Curado,A,7,12,0.58,active,2025-02-14T18:11:29Z,"[-9.128212, 38.727509, -9.128212, 38.727509]",-9.128212,38.727509
emel_gira_stations.193,geom,423,423,423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,B,2,10,0.2,active,2025-02-14T18:10:38Z,"[-9.152295, 38.737911, -9.152295, 38.737911]",-9.152295,38.737911
emel_gira_stations.96,geom,153,153,153 - Praça das Casas Novas / Mercado Sul,A,16,20,0.8,active,2025-02-14T18:11:30Z,"[-9.11314, 38.771913, -9.11314, 38.771913]",-9.11314,38.771913
emel_gira_stations.215,geom,485,485,485 - Rua Tomás da Fonseca / Rua António Albino Machado,B,8,10,0.8,active,2025-02-14T18:10:46Z,"[-9.17, 38.756, -9.17, 38.756]",-9.17,38.756
emel_gira_stations.219,geom,305,305,305 - Avenida da Liberdade / Rua Barata Salgueiro,A,8,16,0.5,active,2025-02-14T18:10:47Z,"[-9.147, 38.72228, -9.147, 38.72228]",-9.147,38.72228
emel_gira_stations.263,geom,405,405,405 - Rua Pedro Nunes / Av. 5 de Outubro,A,3,14,0.21,active,2025-02-14T18:11:31Z,"[-9.14727, 38.733827, -9.14727, 38.733827]",-9.14727,38.733827
emel_gira_stations.222,geom,487,487,487 - Rua Professor João Barreira,B,3,14,0.21,active,2025-02-14T18:10:48Z,"[-9.17096, 38.76136, -9.17096, 38.76136]",-9.17096,38.76136
emel_gira_stations.98,geom,234,234,234 - Av. da Índia / Museu Nacional dos Coches,A,3,22,0.14,active,2025-02-14T18:11:32Z,"[-9.198901, 38.69631, -9.198901, 38.69631]",-9.198901,38.69631
emel_gira_stations.223,geom,486,486,486 - Rua Hermano Neves / Rua José Escada,B,0,14,0.0,active,2025-02-14T18:10:49Z,"[-9.16985, 38.75954, -9.16985, 38.75954]",-9.16985,38.75954
emel_gira_stations.65,geom,211,211,211 - Doca da Marinha,A,20,40,0.5,active,2025-02-14T18:11:20Z,"[-9.132463, 38.707751, -9.132463, 38.707751]",-9.132463,38.707751
emel_gira_stations.178,geom,431,431,431 - Rua do Arco Cego / Av. Magalhães Lima,B,0,14,0.0,active,2025-02-14T18:10:34Z,"[-9.14199, 38.73937, -9.14199, 38.73937]",-9.14199,38.73937
emel_gira_stations.99,geom,233,233,233 - Rua de Belém / Jardim Vasco da Gama,A,7,12,0.58,active,2025-02-14T18:11:32Z,"[-9.204056, 38.696867, -9.204056, 38.696867]",-9.204056,38.696867
emel_gira_stations.226,geom,443,443,443 - Av. de Roma / Fórum Lisboa,B,12,14,0.86,active,2025-02-14T18:10:50Z,"[-9.13866, 38.74351, -9.13866, 38.74351]",-9.13866,38.74351
emel_gira_stations.165,geom,109,109,109 - Alameda dos Oceanos / Rua Ilha dos Amores,,1,14,0.07,active,2025-02-14T18:11:21Z,"[-9.094686, 38.777548, -9.094686, 38.777548]",-9.094686,38.777548
emel_gira_stations.179,geom,412,412,412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,B,7,16,0.44,active,2025-02-14T18:10:34Z,"[-9.1546, 38.73448, -9.1546, 38.73448]",-9.1546,38.73448
emel_gira_stations.233,geom,490,490,490 - Rua Fernando Namora / Azinhaga da Torre do Fato,A,4,16,0.25,active,2025-02-14T18:10:52Z,"[-9.17849, 38.76026, -9.17849, 38.76026]",-9.17849,38.76026
emel_gira_stations.182,geom,426,426,426 - Av. Elias Garcia / Av. 5 de Outubro,B,1,14,0.07,active,2025-02-14T18:10:35Z,"[-9.14793, 38.739046, -9.14793, 38.739046]",-9.14793,38.739046
emel_gira_stations.22,geom,139,139,139 - Rua Cidade de Bissau (Metro Olivais),A,7,25,0.28,active,2025-02-14T18:11:05Z,"[-9.111596, 38.76134, -9.111596, 38.76134]",-9.111596,38.76134
emel_gira_stations.42,geom,232,232,232 - Avenida da Índia / Centro de Arqueologia de Lisboa,A,1,22,0.05,active,2025-02-14T18:11:13Z,"[-9.212149, 38.694155, -9.212149, 38.694155]",-9.212149,38.694155
emel_gira_stations.183,geom,449,449,449 - Av. 5 de Outubro / Rua da Cruz Vermelha,B,0,14,0.0,active,2025-02-14T18:10:35Z,"[-9.150085, 38.746836, -9.150085, 38.746836]",-9.150085,38.746836
emel_gira_stations.52,geom,235,235,235 - Rua da Junqueira / Rua Pinto Ferreira,A,3,16,0.19,active,2025-02-14T18:11:17Z,"[-9.191793, 38.697907, -9.191793, 38.697907]",-9.191793,38.697907
emel_gira_stations.20,geom,315,315,315 - Rua Passos Manuel/ Jardim Constantino,A,6,20,0.3,active,2025-02-14T18:11:07Z,"[-9.136968, 38.731264, -9.136968, 38.731264]",-9.136968,38.731264
emel_gira_stations.58,geom,520,520,520 - Lispolis,A,6,23,0.26,active,2025-02-14T18:11:16Z,"[-9.182513, 38.766995, -9.182513, 38.766995]",-9.182513,38.766995
emel_gira_stations.72,geom,241,241,241 - Rua Bartolomeu Dias / Palácio do Governador,A,3,11,0.27,active,2025-02-14T18:11:22Z,"[-9.214902, 38.694942, -9.214902, 38.694942]",-9.214902,38.694942
emel_gira_stations.184,geom,450,450,450 - Rua Alfredo Cortês,A,4,15,0.27,active,2025-02-14T18:11:25Z,"[-9.143854, 38.746268, -9.143854, 38.746268]",-9.143854,38.746268
emel_gira_stations.62,geom,435,435,435 - Interface de Sete Rios,A,11,43,0.26,active,2025-02-14T18:11:19Z,"[-9.166955, 38.740579, -9.166955, 38.740579]",-9.166955,38.740579
